ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 10:58:32 097m





Relative time,HS3(27295).Ch1,HS3(27295).Ch2
s,V,V
0,0.023724365,0.01307373
0.001,0.0065368652,0.032019043
0.002,0.028607178,0.050183105
0.003,0.032806396,0.070690918
0.004,0.025482178,0.088464355
0.005,0.04755249,0.10819092
0.006,0.049505615,0.12401123
0.007,0.066986084,0.14178467
0.008,0.069232178,0.15740967
0.009,0.068255615,0.16951904
0.01,0.081536865,0.18494873
0.011,0.071380615,0.19940186
0.012,0.07723999,0.21209717
0.013,0.083392334,0.22381592
0.014,0.07723999,0.23104248
0.015,0.086907959,0.24178467
0.016,0.096673584,0.25096436
0.017,0.099212646,0.25819092
0.018,0.10321655,0.26307373
0.019,0.098138428,0.26717529
0.02,0.10097046,0.27088623
0.021,0.099407959,0.27186279
0.022,0.09520874,0.27264404
0.023,0.095697021,0.27010498
0.024,0.088861084,0.27010498
0.025,0.086810303,0.26619873
0.026,0.08895874,0.26229248
0.027,0.088079834,0.25701904
0.028,0.081439209,0.25018311
0.029,0.076361084,0.24197998
0.03,0.070013428,0.23319092
0.031,0.064349365,0.22147217
0.032,0.058001709,0.21131592
0.033,0.053216553,0.19764404
0.034,0.047357178,0.18612061
0.035,0.040716553,0.17010498
0.036,0.041595459,0.15740967
0.037,0.038861084,0.14178467
0.038,0.031829834,0.12440186
0.039,0.026165771,0.10643311
0.04,0.016595459,0.089245605
0.041,0.018157959,0.072058105
0.042,0.014544678,0.055065918
0.043,0.010247803,0.035144043
0.044,0.0082946777,0.018347168
0.045,0.0019470215,-0.002355957
0.046,9.1552734E-5,-0.020324707
0.047,0.0080993652,-0.037121582
0.048,-0.0027404785,-0.054504395
0.049,-0.0082092285,-0.073449707
0.05,-0.026080322,-0.091418457
0.051,-0.063775635,-0.11231689
0.052,-0.06651001,-0.12930908
0.053,-0.058306885,-0.14298096
0.054,-0.075494385,-0.15997314
0.055,-0.060552979,-0.17227783
0.056,-0.062994385,-0.18751221
0.057,-0.06104126,-0.20098877
0.058,-0.05322876,-0.21192627
0.059,-0.064068604,-0.22423096
0.06,-0.054498291,-0.23282471
0.061,-0.059674072,-0.24356689
0.062,-0.063970947,-0.25079346
0.063,-0.059869385,-0.25509033
0.064,-0.067193604,-0.26329346
0.065,-0.067388916,-0.26641846
0.066,-0.062213135,-0.26759033
0.067,-0.057818604,-0.27012939
0.068,-0.058209229,-0.26993408
0.069,-0.062701416,-0.26954346
0.07,-0.067877197,-0.26680908
0.071,-0.072564697,-0.26212158
0.072,-0.07432251,-0.25821533
0.073,-0.075299072,-0.25255127
0.074,-0.078814697,-0.24512939
0.075,-0.081549072,-0.23653564
0.076,-0.071588135,-0.22559814
0.077,-0.066217041,-0.21505127
0.078,-0.070709229,-0.20411377
0.079,-0.070220947,-0.19122314
0.08,-0.074420166,-0.17813721
0.081,-0.076763916,-0.16309814
0.082,-0.07744751,-0.14844971
0.083,-0.08057251,-0.13302002
0.084,-0.081744385,-0.11622314
0.085,-0.084869385,-0.09942627
0.086,-0.069244385,-0.07989502
0.087,-0.056451416,-0.060949707
0.088,-0.05635376,-0.04317627
0.089,-0.00020141602,-0.01973877
0.09,-0.0077209473,0.00018310547
0.091,0.0016540527,0.018933105
0.092,0.014251709,0.039245605
0.093,0.0014587402,0.054870605
0.094,0.021282959,0.074597168
0.095,0.016595459,0.091784668
0.096,0.028216553,0.11151123
0.097,0.04833374,0.13084717
0.098,0.033294678,0.14432373
0.099,0.047357178,0.16033936
0.1,0.048626709,0.17557373
0.101,0.04130249,0.18787842
0.102,0.058392334,0.20428467
0.103,0.045892334,0.21541748
0.104,0.053607178,0.22791748
0.105,0.06161499,0.23768311
0.106,0.057318115,0.24705811
0.107,0.077728271,0.25662842
0.108,0.070111084,0.26287842
0.109,0.07098999,0.26873779
0.11,0.080657959,0.27322998
0.111,0.072161865,0.27342529
0.112,0.079974365,0.27752686
0.113,0.077825928,0.27811279
0.114,0.07645874,0.27674561
