ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:07:01 997m





Relative time,HS3(27295).Ch1,HS3(27295).Ch2
s,V,V
0,0.14349365,0.01151123
0.001,0.28704834,0.027722168
0.002,0.42279053,0.044128418
0.003,0.50775146,0.054870605
0.004,0.65716553,0.072253418
0.005,0.7489624,0.085144043
0.006,0.88470459,0.10037842
0.007,0.98724365,0.11287842
0.008,1.0761108,0.12244873
0.009,1.171814,0.13358154
0.01,1.2255249,0.14041748
0.011,1.2782593,0.14744873
0.012,1.321228,0.15057373
0.013,1.328064,0.15291748
0.014,1.3427124,0.15369873
0.015,1.3222046,0.15311279
0.016,1.2919312,0.15096436
0.017,1.2675171,0.14822998
0.018,1.2059937,0.14002686
0.019,1.140564,0.13084717
0.02,1.0526733,0.12049561
0.021,0.94915771,0.10584717
0.022,0.84954834,0.094909668
0.023,0.72064209,0.080651855
0.024,0.59661865,0.06385498
0.025,0.46380615,0.04979248
0.026,0.31634521,0.029870605
0.027,0.19134521,0.017956543
0.028,0.06048584,0.00076904297
0.029,-0.031311035,-0.012902832
0.03,-0.17486572,-0.028527832
0.031,-0.33404541,-0.046691895
0.032,-0.44830322,-0.061340332
0.033,-0.60552979,-0.078527832
0.034,-0.72467041,-0.092590332
0.035,-0.83892822,-0.10841064
0.036,-0.96881104,-0.12130127
0.037,-1.0391235,-0.12774658
0.038,-1.1279907,-0.14083252
0.039,-1.2051392,-0.14942627
0.04,-1.2559204,-0.15684814
0.041,-1.3164673,-0.16270752
0.042,-1.335022,-0.16368408
0.043,-1.3545532,-0.16602783
0.044,-1.3623657,-0.16602783
0.045,-1.3359985,-0.16485596
0.046,-1.3135376,-0.16173096
0.047,-1.2608032,-0.15723877
0.048,-1.1846313,-0.14610596
0.049,-1.1172485,-0.13770752
0.05,-1.0127563,-0.12677002
0.051,-0.92779541,-0.11583252
0.052,-0.8057251,-0.10235596
0.053,-0.68658447,-0.087121582
0.054,-0.56939697,-0.073254395
0.055,-0.41900635,-0.056848145
0.056,-0.28521729,-0.04005127
0.057,-0.13677979,-0.024035645
0.058,0.020446777,-0.0064575195
0.059,0.16009521,0.011315918
0.06,0.31048584,0.02947998
0.061,0.44134521,0.04510498
0.062,0.51654053,0.056628418
0.063,0.67572021,0.07401123
0.064,0.77337646,0.085339355
0.065,0.89056396,0.10037842
0.066,1.0067749,0.11326904
0.067,1.0790405,0.12205811
0.068,1.1825562,0.13397217
0.069,1.2372437,0.13983154
0.07,1.2880249,0.14608154
0.071,1.328064,0.15213623
0.072,1.3309937,0.15252686
0.073,1.3475952,0.15311279
0.074,1.328064,0.15174561
0.075,1.2929077,0.14744873
0.076,1.2557983,0.14237061
0.077,1.196228,0.13768311
0.078,1.1395874,0.12713623
0.079,1.0448608,0.11795654
0.08,0.94525146,0.10506592
0.081,0.84075928,0.092175293
0.082,0.71185303,0.077722168
0.083,0.58294678,0.064440918
0.084,0.45013428,0.047644043
0.085,0.30169678,0.030651855
0.086,0.16204834,0.013659668
0.087,0.051696777,-0.001184082
0.088,-0.062561035,-0.015246582
0.089,-0.17779541,-0.029699707
0.09,-0.3526001,-0.047473145
0.091,-0.46588135,-0.062121582
0.092,-0.60748291,-0.07833252
0.093,-0.74224854,-0.093762207
0.094,-0.84869385,-0.10802002
0.095,-0.96881104,-0.11915283
0.096,-1.0586548,-0.13223877
0.097,-1.1367798,-0.14298096
0.098,-1.2109985,-0.14981689
0.099,-1.2608032,-0.15665283
0.1,-1.3106079,-0.16173096
0.101,-1.3389282,-0.16524658
0.102,-1.350647,-0.16915283
0.103,-1.3555298,-0.16856689
0.104,-1.3379517,-0.16524658
0.105,-1.3057251,-0.15977783
0.106,-1.2598267,-0.15645752
0.107,-1.1885376,-0.14786377
0.108,-1.1035767,-0.13829346
0.109,-1.0127563,-0.12794189
0.11,-0.90631104,-0.11759033
0.111,-0.80279541,-0.10333252
0.112,-0.6729126,-0.086730957
0.113,-0.5479126,-0.07286377
0.114,-0.40924072,-0.055480957
0.115,-0.26763916,-0.039855957
0.116,-0.12213135,-0.021691895
0.117,0.028259277,-0.004309082
0.118,0.1864624,0.013269043
0.119,0.32025146,0.03026123
0.12,0.46087646,0.046862793
0.121,0.53411865,0.05838623
0.122,0.68353271,0.075183105
0.123,0.79974365,0.089245605
0.124,0.89544678,0.10096436
0.125,1.0194702,0.11483154
0.126,1.0917358,0.12244873
0.127,1.1747437,0.13240967
0.128,1.2528687,0.14080811
0.129,1.2841187,0.14647217
0.13,1.3339233,0.15350342
0.131,1.336853,0.15291748
0.132,1.3407593,0.15252686
0.133,1.3290405,0.15115967
0.134,1.2860718,0.14842529
0.135,1.2479858,0.14237061
0.136,1.1786499,0.13455811
0.137,1.1151733,0.12596436
0.138,1.039978,0.11658936
0.139,0.93255615,0.10428467
0.14,0.82415771,0.091003418
0.141,0.69915771,0.076745605
0.142,0.5692749,0.06385498
0.143,0.4364624,0.044909668
0.144,0.29095459,0.027526855
0.145,0.1473999,0.011315918
0.146,0.04095459,-0.0025512695
0.147,-0.098693848,-0.019152832
0.148,-0.19439697,-0.03145752
0.149,-0.36529541,-0.051965332
0.15,-0.48150635,-0.067004395
0.151,-0.62213135,-0.081262207
0.152,-0.7588501,-0.097668457
0.153,-0.85650635,-0.10880127
0.154,-0.98443604,-0.12305908
0.155,-1.0733032,-0.13321533
0.156,-1.1524048,-0.14278564
0.157,-1.2324829,-0.15177002
0.158,-1.2676392,-0.15899658
0.159,-1.3154907,-0.16251221
0.16,-1.3379517,-0.16739502
0.161,-1.3486938,-0.16759033
0.162,-1.3535767,-0.16759033
0.163,-1.3242798,-0.16505127
0.164,-1.2930298,-0.16114502
0.165,-1.2442017,-0.15411377
0.166,-1.1768188,-0.14512939
0.167,-1.1016235,-0.13692627
0.168,-0.99224854,-0.12540283
0.169,-0.8916626,-0.11309814
0.17,-0.77545166,-0.098840332
