ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:02:35 757m





Relative time,HS3(27295).Ch1,HS3(27295).Ch2
s,V,V
0.185,-0.89465332,-0.15744629
0.186,-1.0118408,-0.17932129
0.187,-1.1134033,-0.19650879
0.188,-1.2305908,-0.21408691
0.189,-1.2930908,-0.22814941
0.19,-1.4024658,-0.24455566
0.191,-1.4727783,-0.25588379
0.192,-1.5294189,-0.26643066
0.193,-1.5938721,-0.27385254
0.194,-1.6290283,-0.28049316
0.195,-1.6563721,-0.28439941
0.196,-1.6700439,-0.28518066
0.197,-1.6680908,-0.28518066
0.198,-1.6622314,-0.28322754
0.199,-1.6231689,-0.27619629
0.2,-1.5841064,-0.26994629
0.201,-1.5313721,-0.26018066
0.202,-1.4571533,-0.24924316
0.203,-1.3946533,-0.23674316
0.204,-1.3028564,-0.22072754
0.205,-1.2149658,-0.20432129
0.206,-1.1094971,-0.18557129
0.207,-0.9864502,-0.16447754
0.208,-0.86535645,-0.14299316
0.209,-0.7286377,-0.11916504
0.21,-0.60168457,-0.095727539
0.211,-0.45715332,-0.069946289
0.212,-0.3067627,-0.045336914
0.213,-0.16223145,-0.017993164
0.214,-0.0059814453,0.0058349609
0.215,0.14245605,0.031616211
0.216,0.28894043,0.059741211
0.217,0.4354248,0.085131836
0.218,0.5838623,0.11091309
0.219,0.72253418,0.13591309
0.22,0.7947998,0.15310059
0.221,0.94909668,0.17770996
0.222,1.0506592,0.19645996
0.223,1.1522217,0.22185059
0.224,1.2713623,0.23435059
0.225,1.3397217,0.25036621
0.226,1.4393311,0.26325684
0.227,1.5057373,0.27770996
0.228,1.5604248,0.28786621
0.229,1.6229248,0.29685059
0.23,1.6405029,0.30075684
0.231,1.6639404,0.30544434
0.232,1.6697998,0.30583496
0.233,1.6541748,0.30583496
0.234,1.6405029,0.30192871
0.235,1.6112061,0.29411621
0.236,1.5506592,0.28630371
0.237,1.4998779,0.27575684
0.238,1.4354248,0.26442871
0.239,1.3592529,0.25153809
0.24,1.2537842,0.23395996
0.241,1.1502686,0.21560059
0.242,1.0389404,0.19606934
0.243,0.91003418,0.17419434
0.244,0.78112793,0.15270996
0.245,0.64050293,0.12810059
0.246,0.49987793,0.10270996
0.247,0.3651123,0.077319336
0.248,0.22253418,0.053100586
0.249,0.091674805,0.027319336
0.25,-0.02746582,0.0031005859
0.251,-0.16809082,-0.023071289
0.252,-0.28723145,-0.047290039
0.253,-0.45129395,-0.074243164
0.254,-0.5723877,-0.098852539
0.255,-0.71887207,-0.12229004
0.256,-0.8614502,-0.14924316
0.257,-0.96887207,-0.16994629
0.258,-1.0899658,-0.18908691
0.259,-1.1837158,-0.20900879
0.26,-1.2755127,-0.22658691
0.261,-1.3751221,-0.24338379
0.262,-1.4493408,-0.25744629
0.263,-1.5177002,-0.26486816
0.264,-1.5704346,-0.28010254
0.265,-1.6134033,-0.28752441
0.266,-1.6505127,-0.29338379
0.267,-1.6641846,-0.29689941
0.268,-1.6641846,-0.29533691
0.269,-1.6466064,-0.29533691
0.27,-1.6231689,-0.28908691
0.271,-1.5958252,-0.28361816
0.272,-1.5430908,-0.27502441
0.273,-1.4903564,-0.26174316
0.274,-1.4180908,-0.25002441
0.275,-1.3360596,-0.23674316
0.276,-1.2403564,-0.21916504
0.277,-1.1387939,-0.20041504
0.278,-1.0216064,-0.17854004
0.279,-0.90246582,-0.15666504
0.28,-0.76965332,-0.13283691
0.281,-0.63098145,-0.10861816
0.282,-0.49230957,-0.083618164
0.283,-0.3458252,-0.057446289
0.284,-0.20715332,-0.031665039
0.285,-0.056762695,-0.0023681641
0.286,0.08581543,0.022631836
0.287,0.23815918,0.047631836
0.288,0.38269043,0.075366211
0.289,0.53112793,0.10270996
0.29,0.66589355,0.12614746
0.291,0.74401855,0.14724121
0.292,0.89831543,0.17067871
0.293,0.99401855,0.19099121
0.294,1.1151123,0.21208496
0.295,1.2244873,0.23083496
0.296,1.3026123,0.24606934
0.297,1.4022217,0.26130371
0.298,1.4647217,0.27380371
0.299,1.5526123,0.28669434
0.3,1.5975342,0.29372559
0.301,1.6248779,0.29763184
0.302,1.6580811,0.30466309
0.303,1.6600342,0.30466309
0.304,1.6658936,0.30349121
0.305,1.6424561,0.30036621
0.306,1.6131592,0.29216309
0.307,1.5721436,0.28591309
0.308,1.5194092,0.27497559
0.309,1.4588623,0.26208496
0.31,1.3807373,0.24880371
0.311,1.2908936,0.23435059
0.312,1.1932373,0.21560059
0.313,1.0760498,0.19645996
0.314,0.96472168,0.17380371
0.315,0.82995605,0.15114746
0.316,0.68933105,0.12770996
0.317,0.56237793,0.10310059
0.318,0.42565918,0.078491211
0.319,0.2947998,0.052709961
0.32,0.14050293,0.025756836
0.321,0.01940918,-2.4414063E-5
0.322,-0.09777832,-0.023461914
0.323,-0.23840332,-0.049633789
0.324,-0.3848877,-0.076196289
0.325,-0.51184082,-0.099243164
0.326,-0.66418457,-0.12580566
0.327,-0.78918457,-0.14768066
0.328,-0.9083252,-0.16916504
0.329,-1.0235596,-0.19104004
0.33,-1.1290283,-0.20861816
0.331,-1.2384033,-0.22658691
0.332,-1.3360596,-0.24299316
0.333,-1.4141846,-0.25627441
0.334,-1.4942627,-0.26760254
0.335,-1.5509033,-0.27697754
0.336,-1.6016846,-0.28557129
0.337,-1.6387939,-0.29143066
0.338,-1.6485596,-0.29416504
0.339,-1.6602783,-0.29455566
0.34,-1.6544189,-0.29338379
0.341,-1.6407471,-0.29025879
0.342,-1.6173096,-0.28479004
0.343,-1.5626221,-0.28322754
0.344,-1.5235596,-0.26643066
0.345,-1.4532471,-0.25471191
0.346,-1.3712158,-0.23908691
0.347,-1.2911377,-0.22346191
0.348,-1.1817627,-0.20627441
0.349,-1.0723877,-0.18596191
0.35,-0.95910645,-0.16486816
0.351,-0.8302002,-0.14377441
0.352,-0.70129395,-0.11721191
0.353,-0.56848145,-0.092211914
0.354,-0.42590332,-0.068383789
0.355,-0.2755127,-0.042993164
0.356,-0.12512207,-0.017602539
0.357,0.01550293,0.0070068359
0.358,0.16784668,0.035522461
0.359,0.32019043,0.059741211
0.36,0.47058105,0.085131836
0.361,0.61120605,0.11013184
0.362,0.73034668,0.13200684
0.363,0.82409668,0.15231934
0.364,0.95495605,0.17653809
0.365,1.0740967,0.19450684
0.366,1.1697998,0.21325684
0.367,1.2889404,0.23200684
0.368,1.3690186,0.24685059
0.369,1.4627686,0.26208496
0.37,1.5369873,0.27263184
0.371,1.5740967,0.28200684
0.372,1.6307373,0.29060059
0.373,1.6483154,0.29333496
0.374,1.6639404,0.29685059
0.375,1.6639404,0.29606934
0.376,1.6502686,0.29450684
0.377,1.6307373,0.29138184
0.378,1.5994873,0.28474121
0.379,1.5506592,0.27458496
0.38,1.4920654,0.26403809
0.381,1.4139404,0.24958496
0.382,1.3260498,0.23669434
0.383,1.2283936,0.21833496
0.384,1.1229248,0.19958496
0.385,1.0057373,0.17849121
0.386,0.87878418,0.15700684
0.387,0.75183105,0.13474121
0.388,0.62097168,0.11169434
0.389,0.49597168,0.087866211
0.39,0.34362793,0.064819336
0.391,0.20690918,0.037866211
0.392,0.05065918,0.010131836
0.393,-0.037231445,-0.012524414
0.394,-0.20129395,-0.037133789
0.395,-0.32434082,-0.062915039
0.396,-0.47277832,-0.088305664
0.397,-0.62121582,-0.11369629
0.398,-0.7364502,-0.13439941
0.399,-0.86340332,-0.15900879
0.4,-0.9864502,-0.18049316
0.401,-1.1036377,-0.20119629
0.402,-1.2208252,-0.22150879
0.403,-1.3087158,-0.23713379
0.404,-1.3985596,-0.25549316
0.405,-1.4786377,-0.26877441
0.406,-1.5411377,-0.28049316
0.407,-1.5997314,-0.28986816
0.408,-1.6251221,-0.29455566
0.409,-1.6505127,-0.29924316
0.41,-1.6778564,-0.29416504
0.411,-1.6661377,-0.30080566
0.412,-1.6602783,-0.29885254
0.413,-1.6290283,-0.29455566
0.414,-1.5880127,-0.28674316
0.415,-1.5430908,-0.27854004
0.416,-1.4805908,-0.26525879
0.417,-1.4063721,-0.25354004
0.418,-1.3165283,-0.23830566
0.419,-1.2091064,-0.21955566
0.42,-1.1134033,-0.20275879
0.421,-0.99816895,-0.18049316
0.422,-0.8770752,-0.15822754
0.423,-0.73840332,-0.13635254
0.424,-0.60949707,-0.11174316
0.425,-0.46887207,-0.086743164
0.426,-0.3223877,-0.060961914
0.427,-0.17785645,-0.033618164
0.428,-0.021606445,-0.0058837891
0.429,0.1385498,0.020288086
0.43,0.27526855,0.048413086
0.431,0.4197998,0.074584961
0.432,0.55651855,0.099584961
0.433,0.69128418,0.12380371
0.434,0.7713623,0.14411621
0.435,0.91589355,0.16755371
0.436,1.0233154,0.19020996
0.437,1.1307373,0.21013184
0.438,1.2498779,0.23005371
0.439,1.3377686,0.24450684
0.44,1.4354248,0.25974121
0.441,1.5018311,0.27458496
0.442,1.5506592,0.28161621
0.443,1.6092529,0.29138184
0.444,1.6326904,0.29685059
0.445,1.6541748,0.30114746
0.446,1.6678467,0.30036621
0.447,1.6405029,0.29919434
0.448,1.6346436,0.29724121
0.449,1.6131592,0.29020996
0.45,1.5701904,0.27614746
0.451,1.5174561,0.27067871
0.452,1.4315186,0.25895996
0.453,1.3592529,0.24411621
0.454,1.2576904,0.22810059
0.455,1.1561279,0.20739746
0.456,1.0487061,0.18981934
0.457,0.92565918,0.16794434
0.458,0.79675293,0.14372559
0.459,0.68151855,0.12106934
0.46,0.53503418,0.094506836
0.461,0.4119873,0.071850586
0.462,0.2479248,0.044506836
0.463,0.10339355,0.019897461
0.464,-0.00012207031,-0.0078369141
0.465,-0.16027832,-0.035180664
0.466,-0.27160645,-0.060180664
0.467,-0.43762207,-0.086352539
0.468,-0.56262207,-0.11057129
0.469,-0.67590332,-0.13479004
0.47,-0.8302002,-0.15900879
0.471,-0.93371582,-0.18049316
0.472,-1.0684814,-0.20236816
0.473,-1.1661377,-0.21955566
0.474,-1.2598877,-0.23596191
0.475,-1.3653564,-0.25471191
0.476,-1.4434814,-0.26525879
0.477,-1.5177002,-0.27775879
0.478,-1.5645752,-0.28674316
0.479,-1.5919189,-0.29494629
0.48,-1.6329346,-0.30080566
0.481,-1.6485596,-0.30080566
0.482,-1.6583252,-0.30119629
0.483,-1.6563721,-0.29963379
0.484,-1.6368408,-0.29689941
0.485,-1.6075439,-0.28908691
0.486,-1.5587158,-0.28127441
0.487,-1.5079346,-0.27268066
0.488,-1.4415283,-0.25744629
0.489,-1.3458252,-0.24182129
0.49,-1.2579346,-0.22385254
0.491,-1.1563721,-0.20744629
0.492,-1.0430908,-0.18518066
0.493,-0.92199707,-0.16330566
0.494,-0.8067627,-0.13869629
0.495,-0.67785645,-0.11564941
0.496,-0.5333252,-0.092211914
0.497,-0.4005127,-0.068383789
0.498,-0.24230957,-0.040649414
0.499,-0.08605957,-0.013305664
0.5,0.064331055,0.012084961
