ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 10:53:01 286m





Relative time,HS3(27295).Ch1
s,V
0,0.00057373047
0.001,-0.00059814453
0.002,0.01151123
0.003,0.017956543
0.004,0.065026855
0.005,0.069714355
0.006,0.10057373
0.007,0.10194092
0.008,0.12283936
0.009,0.13670654
0.01,0.13026123
0.011,0.13963623
0.012,0.13787842
0.013,0.13494873
0.014,0.13885498
0.015,0.13572998
0.016,0.13865967
0.017,0.13787842
0.018,0.14744873
0.019,0.14197998
0.02,0.13768311
0.021,0.12987061
0.022,0.12713623
0.023,0.11424561
0.024,0.11033936
0.025,0.10291748
0.026,0.090222168
0.027,0.084558105
0.028,0.08572998
0.029,0.074597168
0.03,0.068151855
0.031,0.05369873
0.032,0.042370605
0.033,0.033972168
0.034,0.019519043
0.035,0.012878418
0.036,-1.2207031E-5
0.037,-0.0099731445
0.038,-0.008996582
0.039,-0.018762207
0.04,-0.025012207
0.041,-0.03614502
0.042,-0.041809082
0.043,-0.047668457
0.044,-0.057434082
0.045,-0.061535645
0.046,-0.069348145
0.047,-0.071105957
0.048,-0.063684082
0.049,-0.077941895
0.05,-0.067004395
0.051,-0.072668457
0.052,-0.076965332
0.053,-0.072277832
0.054,-0.078723145
0.055,-0.076574707
0.056,-0.10782471
0.057,-0.10860596
0.058,-0.11583252
0.059,-0.095910645
0.06,-0.10313721
0.061,-0.09473877
0.062,-0.080090332
0.063,-0.083605957
0.064,-0.070324707
0.065,-0.07364502
0.066,-0.066223145
0.067,-0.057434082
0.068,-0.048254395
0.069,-0.041223145
0.07,-0.033996582
0.071,-0.04083252
0.072,-0.028527832
0.073,-0.030285645
0.074,-0.03848877
0.075,-0.022277832
0.076,-0.02911377
0.077,-0.016027832
0.078,-0.0045043945
0.079,-0.0068481445
0.08,-0.00040283203
0.081,-0.0088012695
0.082,0.002331543
0.083,-0.0045043945
0.084,-0.0056762695
0.085,-0.0060668945
0.086,-0.007824707
0.087,-0.0029418945
0.088,0.013659668
0.089,0.0079956055
0.09,0.009362793
0.091,0.002331543
0.092,0.0033081055
0.093,0.0029174805
0.094,0.044714355
0.095,0.039831543
0.096,0.05916748
0.097,0.061901855
0.098,0.067175293
0.099,0.076940918
0.1,0.065026855
0.101,0.063269043
0.102,0.068347168
0.103,0.052526855
0.104,0.05213623
0.105,0.044519043
0.106,0.037097168
0.107,0.039440918
0.108,0.038659668
0.109,0.037683105
0.11,0.033581543
0.111,0.018933105
0.112,0.023034668
0.113,0.01072998
0.114,0.008190918
0.115,0.0072143555
0.116,-0.001965332
0.117,0.00037841797
0.118,0.004284668
0.119,0.00018310547
0.12,0.00076904297
0.121,-0.0091918945
0.122,-0.008605957
0.123,-0.010168457
0.124,-0.020324707
0.125,-0.016223145
0.126,-0.021105957
0.127,-0.023840332
0.128,-0.011340332
0.129,-0.020324707
0.13,-0.013684082
0.131,-0.018371582
0.132,-0.015246582
0.133,-0.014855957
0.134,-0.015441895
0.135,-0.008996582
0.136,-0.01192627
0.137,-0.008215332
0.138,0.004675293
0.139,0.008190918
0.14,0.015222168
0.141,0.016003418
0.142,0.018151855
0.143,0.025183105
0.144,0.024206543
0.145,0.02791748
0.146,0.007019043
0.147,-0.012121582
0.148,-0.0084106445
0.149,0.004284668
0.15,-0.0048950195
0.151,0.004284668
0.152,0.0083862305
0.153,0.0060424805
0.154,0.014440918
0.155,0.011706543
0.156,0.015026855
0.157,0.021862793
0.158,0.022644043
0.159,0.029284668
0.16,0.025769043
0.161,0.021081543
0.162,0.023425293
0.163,0.012878418
0.164,0.01307373
0.165,0.0056518555
0.166,-0.0033325195
0.167,-0.001965332
0.168,-0.00020751953
0.169,-0.004699707
0.17,-0.008605957
0.171,-0.024230957
0.172,-0.022668457
0.173,-0.041027832
0.174,-0.045910645
0.175,-0.048449707
0.176,-0.063098145
0.177,-0.058215332
0.178,-0.056262207
0.179,-0.063684082
0.18,-0.065441895
0.181,-0.078918457
0.182,-0.078723145
0.183,-0.086535645
0.184,-0.05958252
0.185,-0.05177002
0.186,-0.03770752
0.187,-0.044934082
0.188,-0.025793457
0.189,-0.020129395
0.19,-0.03380127
0.191,-0.033215332
0.192,-0.035168457
0.193,-0.03536377
0.194,-0.04005127
0.195,-0.04083252
0.196,-0.03458252
0.197,-0.03848877
0.198,-0.02364502
0.199,-0.023449707
0.2,-0.020129395
0.201,-0.01895752
0.202,-0.01427002
0.203,-0.01505127
0.204,-0.007043457
0.205,-0.004309082
0.206,-0.00020751953
0.207,0.0048706055
0.208,0.020690918
0.209,0.022058105
0.21,0.032995605
0.211,0.03338623
0.212,0.040612793
0.213,0.043933105
0.214,0.044714355
0.215,0.053308105
0.216,0.05604248
0.217,0.063464355
0.218,0.077331543
0.219,0.078894043
0.22,0.085144043
0.221,0.085925293
0.222,0.089050293
0.223,0.092956543
0.224,0.09588623
0.225,0.097253418
0.226,0.097839355
0.227,0.10057373
0.228,0.10740967
