ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 10:56:52 797m





Relative time,HS3(27295).Ch2
s,V
0.299,0.24686279
0.3,0.23651123
0.301,0.22791748
0.302,0.21463623
0.303,0.20350342
0.304,0.19080811
0.305,0.17635498
0.306,0.16229248
0.307,0.14608154
0.308,0.12967529
0.309,0.11170654
0.31,0.094128418
0.311,0.07713623
0.312,0.058776855
0.313,0.040808105
0.314,0.021472168
0.315,0.003894043
0.316,-0.016418457
0.317,-0.033996582
0.318,-0.051965332
0.319,-0.070324707
0.32,-0.088879395
0.321,-0.10860596
0.322,-0.12501221
0.323,-0.14044189
0.324,-0.15528564
0.325,-0.16993408
0.326,-0.18458252
0.327,-0.19688721
0.328,-0.20821533
0.329,-0.21876221
0.33,-0.22930908
0.331,-0.23829346
0.332,-0.24610596
0.333,-0.25469971
0.334,-0.26075439
0.335,-0.26407471
0.336,-0.26778564
0.337,-0.26915283
0.338,-0.27012939
0.339,-0.27130127
0.34,-0.26817627
0.341,-0.26427002
0.342,-0.26036377
0.343,-0.25372314
0.344,-0.24805908
0.345,-0.23985596
0.346,-0.23126221
0.347,-0.22091064
0.348,-0.20841064
0.349,-0.20137939
0.35,-0.18302002
0.351,-0.16837158
0.352,-0.15391846
0.353,-0.13770752
0.354,-0.12208252
0.355,-0.10587158
0.356,-0.08848877
0.357,-0.070910645
0.358,-0.053527832
0.359,-0.030871582
0.36,-0.013098145
0.361,0.0072143555
0.362,0.025378418
0.363,0.04510498
0.364,0.063464355
0.365,0.080065918
0.366,0.098815918
0.367,0.11541748
0.368,0.13260498
0.369,0.14881592
0.37,0.16209717
0.371,0.17869873
0.372,0.19197998
0.373,0.20506592
0.374,0.21756592
0.375,0.22615967
0.376,0.23533936
0.377,0.24647217
0.378,0.25311279
0.379,0.25819092
0.38,0.26229248
0.381,0.26658936
0.382,0.26776123
0.383,0.27127686
0.384,0.27030029
0.385,0.27010498
0.386,0.26580811
0.387,0.26131592
0.388,0.25623779
0.389,0.24881592
0.39,0.24158936
0.391,0.23397217
0.392,0.22264404
0.393,0.21131592
0.394,0.19881592
0.395,0.18494873
0.396,0.16951904
0.397,0.15408936
0.398,0.14002686
0.399,0.12244873
0.4,0.10447998
0.401,0.087878418
0.402,0.070690918
0.403,0.053308105
0.404,0.033190918
0.405,0.01541748
0.406,-0.0045043945
0.407,-0.024230957
0.408,-0.041809082
0.409,-0.060168457
0.41,-0.077941895
0.411,-0.09630127
0.412,-0.11817627
0.413,-0.13575439
0.414,-0.15137939
0.415,-0.16837158
0.416,-0.18067627
0.417,-0.19610596
0.418,-0.20880127
0.419,-0.22091064
0.42,-0.23282471
0.421,-0.24063721
0.422,-0.25079346
0.423,-0.25782471
0.424,-0.26485596
0.425,-0.27012939
0.426,-0.27305908
0.427,-0.27598877
0.428,-0.27872314
0.429,-0.27969971
0.43,-0.27735596
0.431,-0.27559814
0.432,-0.26973877
0.433,-0.26485596
0.434,-0.26036377
0.435,-0.25255127
0.436,-0.24532471
0.437,-0.23555908
0.438,-0.22481689
0.439,-0.21114502
0.44,-0.19825439
0.441,-0.18341064
0.442,-0.16934814
0.443,-0.15196533
0.444,-0.13653564
0.445,-0.11876221
0.446,-0.09630127
0.447,-0.085168457
0.448,-0.067199707
0.449,-0.047668457
0.45,-0.025012207
0.451,-0.004309082
0.452,0.013269043
0.453,0.034362793
0.454,0.050769043
0.455,0.072253418
0.456,0.089440918
0.457,0.10662842
0.458,0.12537842
0.459,0.13905029
0.46,0.15662842
0.461,0.17205811
0.462,0.18494873
0.463,0.19842529
0.464,0.21092529
0.465,0.22049561
0.466,0.23221436
0.467,0.23963623
0.468,0.24803467
0.469,0.25565186
0.47,0.26112061
0.471,0.26483154
0.472,0.26639404
0.473,0.27010498
0.474,0.26893311
0.475,0.26912842
0.476,0.26600342
0.477,0.26307373
0.478,0.25740967
0.479,0.25096436
0.48,0.24393311
0.481,0.23533936
0.482,0.22498779
0.483,0.21385498
0.484,0.20311279
0.485,0.19002686
0.486,0.17479248
0.487,0.16151123
0.488,0.14588623
0.489,0.12928467
0.49,0.11268311
0.491,0.095690918
0.492,0.07713623
0.493,0.05994873
0.494,0.042956543
0.495,0.023620605
0.496,0.004675293
0.497,-0.014074707
