ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 10:49:21 076m





Relative time,HS3(27295).Ch1
s,V
0,0.0070068359
0.001,0.034741211
0.002,0.058569336
0.003,0.080053711
0.004,0.10739746
0.005,0.13122559
0.006,0.15739746
0.007,0.14567871
0.008,0.16247559
0.009,0.16403809
0.01,0.19763184
0.011,0.20974121
0.012,0.23317871
0.013,0.25622559
0.014,0.26481934
0.015,0.29216309
0.016,0.30935059
0.017,0.31677246
0.018,0.33591309
0.019,0.33903809
0.02,0.34880371
0.021,0.35466309
0.022,0.35075684
0.023,0.35817871
0.024,0.35622559
0.025,0.36052246
0.026,0.37028809
0.027,0.34919434
0.028,0.35661621
0.029,0.34450684
0.03,0.33356934
0.031,0.32458496
0.032,0.30895996
0.033,0.29645996
0.034,0.28161621
0.035,0.27458496
0.036,0.26989746
0.037,0.24255371
0.038,0.22692871
0.039,0.20544434
0.04,0.18005371
0.041,0.16091309
0.042,0.13278809
0.043,0.10935059
0.044,0.089428711
0.045,0.072241211
0.046,0.058569336
0.047,0.032006836
0.048,0.015600586
0.049,0.0066162109
0.05,0.017163086
0.051,0.0054443359
0.052,-0.033618164
0.053,-0.034790039
0.054,-0.071899414
0.055,-0.081665039
0.056,-0.087133789
0.057,-0.12932129
0.058,-0.13713379
0.059,-0.16799316
0.06,-0.19299316
0.061,-0.20432129
0.062,-0.24182129
0.063,-0.25705566
0.064,-0.27150879
0.065,-0.28752441
0.066,-0.28205566
0.067,-0.31213379
0.068,-0.31721191
0.069,-0.32775879
0.07,-0.34572754
0.071,-0.34455566
0.072,-0.34963379
0.073,-0.36252441
0.074,-0.36369629
0.075,-0.36604004
0.076,-0.35666504
0.077,-0.35822754
0.078,-0.35861816
0.079,-0.35236816
0.08,-0.35393066
0.081,-0.34221191
0.082,-0.33830566
0.083,-0.33127441
0.084,-0.31877441
0.085,-0.30627441
0.086,-0.28596191
0.087,-0.27072754
0.088,-0.25627441
0.089,-0.23713379
0.09,-0.22072754
0.091,-0.20002441
0.092,-0.17736816
0.093,-0.15705566
0.094,-0.13244629
0.095,-0.11057129
0.096,-0.076977539
0.097,-0.053149414
0.098,-0.029321289
0.099,-0.0051025391
0.1,0.021069336
0.101,0.049975586
0.102,0.069897461
0.103,0.089428711
0.104,0.11989746
0.105,0.14020996
0.106,0.16208496
0.107,0.13239746
0.108,0.16950684
0.109,0.18161621
0.11,0.19411621
0.111,0.23278809
0.112,0.23552246
0.113,0.26091309
0.114,0.28122559
0.115,0.28903809
0.116,0.32106934
0.117,0.32302246
0.118,0.33630371
0.119,0.34763184
0.12,0.34606934
0.121,0.35935059
0.122,0.35466309
0.123,0.35466309
0.124,0.35974121
0.125,0.35700684
0.126,0.36794434
0.127,0.35427246
0.128,0.34997559
0.129,0.33825684
0.13,0.32575684
0.131,0.31755371
0.132,0.30153809
0.133,0.28552246
0.134,0.27341309
0.135,0.26872559
0.136,0.26130371
0.137,0.23825684
0.138,0.21599121
0.139,0.19528809
0.14,0.17185059
0.141,0.15270996
0.142,0.12458496
0.143,0.10349121
0.144,0.077709961
0.145,0.063647461
0.146,0.054272461
0.147,0.023413086
0.148,0.0085693359
0.149,0.030834961
0.15,-0.0039306641
0.151,-0.0054931641
0.152,-0.034790039
0.153,-0.064868164
0.154,-0.074243164
0.155,-0.10197754
0.156,-0.10510254
0.157,-0.13479004
0.158,-0.15939941
0.159,-0.17111816
0.16,-0.20588379
0.161,-0.22072754
0.162,-0.24064941
0.163,-0.26447754
0.164,-0.27697754
0.165,-0.28908691
0.166,-0.29572754
0.167,-0.31135254
0.168,-0.32619629
0.169,-0.33479004
0.17,-0.34650879
0.171,-0.36252441
0.172,-0.36213379
0.173,-0.36525879
0.174,-0.37033691
0.175,-0.36682129
0.176,-0.35939941
0.177,-0.36018066
0.178,-0.35666504
0.179,-0.35197754
0.18,-0.34689941
0.181,-0.33791504
