ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:00:22 851m





Relative time,HS3(27295).Ch1,HS3(27295).Ch2
s,V,V
0,0.0048217773,0.029272461
0.001,0.12298584,0.072241211
0.002,0.23040771,0.11716309
0.003,0.34368896,0.15895996
0.004,0.45794678,0.20075684
0.005,0.56634521,0.24060059
0.006,0.67767334,0.28005371
0.007,0.77435303,0.31833496
0.008,0.87591553,0.35349121
0.009,0.97357178,0.38825684
0.01,1.062439,0.41911621
0.011,1.1444702,0.44841309
0.012,1.2177124,0.47653809
0.013,1.289978,0.49997559
0.014,1.3505249,0.52185059
0.015,1.4081421,0.54060059
0.016,1.4491577,0.55544434
0.017,1.4901733,0.56833496
0.018,1.5145874,0.57614746
0.019,1.5360718,0.58278809
0.02,1.5438843,0.58591309
0.021,1.5487671,0.58395996
0.022,1.5360718,0.57927246
0.023,1.5165405,0.57224121
0.024,1.493103,0.56169434
0.025,1.446228,0.54685059
0.026,1.4052124,0.53005371
0.027,1.3466187,0.51091309
0.028,1.2792358,0.48474121
0.029,1.2098999,0.45974121
0.03,1.1307983,0.43083496
0.031,1.0438843,0.39997559
0.032,0.95599365,0.36638184
0.033,0.8583374,0.32966309
0.034,0.7567749,0.29177246
0.035,0.64837646,0.25310059
0.036,0.54095459,0.21325684
0.037,0.42474365,0.17106934
0.038,0.31829834,0.12966309
0.039,0.2020874,0.085913086
0.04,0.088806152,0.042553711
0.041,-0.02935791,-0.0019775391
0.042,-0.14068604,-0.044946289
0.043,-0.25299072,-0.088696289
0.044,-0.36529541,-0.13283691
0.045,-0.47369385,-0.17268066
0.046,-0.58795166,-0.21447754
0.047,-0.69146729,-0.25354004
0.048,-0.79302979,-0.29299316
0.049,-0.88775635,-0.33088379
0.05,-0.9854126,-0.36486816
0.051,-1.0654907,-0.39807129
0.052,-1.1455688,-0.42814941
0.053,-1.210022,-0.45471191
0.054,-1.2744751,-0.48049316
0.055,-1.3320923,-0.50158691
0.056,-1.3770142,-0.52150879
0.057,-1.4170532,-0.53869629
0.058,-1.4512329,-0.55314941
0.059,-1.4766235,-0.56330566
0.06,-1.491272,-0.57033691
0.061,-1.4971313,-0.57189941
0.062,-1.4971313,-0.57424316
0.063,-1.4785767,-0.56955566
0.064,-1.4609985,-0.56291504
0.065,-1.428772,-0.55275879
0.066,-1.3887329,-0.54064941
0.067,-1.3535767,-0.52541504
0.068,-1.303772,-0.50549316
0.069,-1.2481079,-0.48283691
0.07,-1.1924438,-0.45900879
0.071,-1.1231079,-0.43283691
0.072,-1.0557251,-0.40275879
0.073,-0.97662354,-0.37072754
0.074,-0.89459229,-0.33557129
0.075,-0.80670166,-0.30002441
0.076,-0.71490479,-0.26213379
0.077,-0.6182251,-0.22424316
0.078,-0.51959229,-0.18322754
0.079,-0.41802979,-0.14182129
0.08,-0.31256104,-0.097680664
0.081,-0.20123291,-0.055883789
0.082,-0.092834473,-0.012915039
0.083,0.016540527,0.033178711
0.084,0.13470459,0.076538086
0.085,0.24798584,0.11989746
0.086,0.36419678,0.16091309
0.087,0.46478271,0.20544434
0.088,0.57122803,0.24606934
0.089,0.67962646,0.28591309
0.09,0.78118896,0.32302246
0.091,0.88470459,0.36130371
0.092,0.97161865,0.39411621
0.093,1.0643921,0.42575684
0.094,1.1454468,0.45466309
0.095,1.2167358,0.48395996
0.096,1.2890015,0.50544434
0.097,1.3485718,0.52770996
0.098,1.3973999,0.54450684
0.099,1.4472046,0.55974121
0.1,1.4784546,0.57380371
0.101,1.5077515,0.58200684
0.102,1.5233765,0.58708496
0.103,1.5380249,0.58747559
0.104,1.5350952,0.58669434
0.105,1.5253296,0.58044434
0.106,1.5106812,0.57302246
0.107,1.4765015,0.56130371
0.108,1.4393921,0.54567871
0.109,1.3934937,0.52849121
0.11,1.3388062,0.50700684
0.111,1.2753296,0.48278809
0.112,1.203064,0.45505371
0.113,1.1259155,0.42575684
0.114,1.039978,0.39255371
0.115,0.94720459,0.35895996
0.116,0.85150146,0.32341309
0.117,0.74798584,0.28435059
0.118,0.64251709,0.24333496
0.119,0.53607178,0.20192871
0.12,0.42669678,0.16052246
0.121,0.31634521,0.11716309
0.122,0.19622803,0.074194336
0.123,0.084899902,0.031225586
