ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:08:19 953m





Relative time,HS3(27295).Ch1,HS3(27295).Ch2
s,V,V
0,0.055603027,0.003894043
0.001,0.20404053,0.01932373
0.002,0.34564209,0.035339355
0.003,0.44622803,0.047839355
0.004,0.60540771,0.064831543
0.005,0.70697021,0.07713623
0.006,0.85736084,0.094714355
0.007,0.95697021,0.10604248
0.008,1.0477905,0.11580811
0.009,1.1503296,0.12733154
0.01,1.196228,0.13280029
0.011,1.2606812,0.14061279
0.012,1.2890015,0.14451904
0.013,1.3016968,0.14666748
0.014,1.3261108,0.14881592
0.015,1.2977905,0.14569092
0.016,1.2636108,0.13905029
0.017,1.2098999,0.13631592
0.018,1.1376343,0.13045654
0.019,1.0546265,0.12147217
0.02,0.9520874,0.11053467
0.021,0.84368896,0.095690918
0.022,0.72259521,0.083190918
0.023,0.5927124,0.070495605
0.024,0.4755249,0.057800293
0.025,0.3427124,0.043151855
0.026,0.19329834,0.029675293
0.027,0.07611084,0.01385498
0.028,-0.055725098,-0.00040283203
0.029,-0.17681885,-0.014074707
0.03,-0.34088135,-0.030871582
0.031,-0.46295166,-0.044543457
0.032,-0.60748291,-0.05958252
0.033,-0.73834229,-0.074035645
0.034,-0.83209229,-0.08380127
0.035,-0.94732666,-0.09630127
0.036,-1.0430298,-0.10626221
0.037,-1.1192017,-0.11505127
0.038,-1.1992798,-0.12266846
0.039,-1.2481079,-0.12735596
0.04,-1.2861938,-0.13243408
0.041,-1.3008423,-0.13536377
0.042,-1.303772,-0.13712158
0.043,-1.2930298,-0.13555908
0.044,-1.2451782,-0.12989502
0.045,-1.187561,-0.12462158
0.046,-1.1240845,-0.11680908
0.047,-1.038147,-0.10802002
0.048,-0.94342041,-0.097473145
0.049,-0.83599854,-0.086535645
0.05,-0.71490479,-0.07286377
0.051,-0.58892822,-0.05880127
0.052,-0.45220947,-0.044934082
0.053,-0.30865479,-0.028918457
0.054,-0.15338135,-0.01192627
0.055,-0.0059204102,0.003894043
0.056,0.14544678,0.018151855
0.057,0.2802124,0.033190918
0.058,0.41986084,0.04822998
0.059,0.4911499,0.057214355
0.06,0.64642334,0.072058105
0.061,0.75775146,0.083972168
0.062,0.85150146,0.095300293
0.063,0.97747803,0.10623779
0.064,1.0497437,0.11209717
0.065,1.1415405,0.12108154
0.066,1.2001343,0.12752686
0.067,1.2284546,0.13006592
0.068,1.2753296,0.13436279
0.069,1.2665405,0.13553467
0.07,1.2597046,0.13299561
0.071,1.2440796,0.13006592
0.072,1.1864624,0.12401123
0.073,1.1425171,0.11854248
0.074,1.0741577,0.11131592
0.075,0.98724365,0.10213623
0.076,0.88470459,0.091003418
0.077,0.76556396,0.07635498
0.078,0.64447021,0.064245605
0.079,0.50286865,0.047839355
0.08,0.36029053,0.032800293
0.081,0.21868896,0.017956543
0.082,0.06829834,0.00076904297
0.083,-0.01763916,-0.0099731445
