ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:10:22 199m





Relative time,HS3(27295).Ch1,HS3(27295).Ch2
s,V,V
0,0.10638428,0.0045837402
0.001,0.2489624,0.017669678
0.002,0.39349365,0.032806396
0.003,0.47943115,0.042474365
0.004,0.62298584,0.057122803
0.005,0.75384521,0.068353271
0.006,0.8427124,0.07567749
0.007,0.96380615,0.083587646
0.008,1.0331421,0.093939209
0.009,1.1073608,0.098822021
0.01,1.1552124,0.10360718
0.011,1.1688843,0.10722046
0.012,1.1903687,0.10731812
0.013,1.1659546,0.10380249
0.014,1.1268921,0.096868896
0.015,1.0819702,0.094915771
0.016,0.99798584,0.087786865
0.017,0.9208374,0.079095459
0.018,0.83001709,0.067376709
0.019,0.7177124,0.055072021
0.02,0.59075928,0.042181396
0.021,0.4442749,0.02567749
0.022,0.30072021,0.01317749
0.023,0.14935303,-0.0031311035
0.024,0.03704834,-0.016217041
0.025,-0.12310791,-0.03291626
0.026,-0.24127197,-0.046392822
0.027,-0.41802979,-0.062701416
0.028,-0.53814697,-0.074224854
0.029,-0.65631104,-0.084381104
0.03,-0.80767822,-0.097467041
0.031,-0.88775635,-0.10654907
0.032,-1.006897,-0.11748657
0.033,-1.085022,-0.12324829
0.034,-1.1377563,-0.12783813
0.035,-1.2022095,-0.1312561
0.036,-1.2139282,-0.13291626
0.037,-1.2266235,-0.13399048
0.038,-1.2041626,-0.13115845
0.039,-1.1572876,-0.12608032
0.04,-1.1211548,-0.11748657
0.041,-1.0410767,-0.10859985
0.042,-0.95513916,-0.098443604
0.043,-0.86724854,-0.089556885
0.044,-0.73931885,-0.074908447
0.045,-0.62017822,-0.06182251
0.046,-0.48150635,-0.044439697
0.047,-0.33209229,-0.028326416
0.048,-0.18170166,-0.011627197
0.049,-0.011779785,0.0058532715
0.05,0.14447021,0.020404053
0.051,0.29779053,0.03739624
0.052,0.42572021,0.053704834
0.053,0.54681396,0.06786499
0.054,0.66986084,0.081439209
0.055,0.82611084,0.095501709
0.056,0.9130249,0.10292358
0.057,1.0272827,0.11366577
0.058,1.1200562,0.12304077
0.059,1.1766968,0.13075562
0.06,1.2391968,0.13622437
0.061,1.2479858,0.13602905
0.062,1.2597046,0.1359314
0.063,1.2440796,0.13339233
0.064,1.1952515,0.12870483
0.065,1.1473999,0.1243103
0.066,1.0614624,0.11591187
0.067,0.97259521,0.10653687
0.068,0.88275146,0.094134521
0.069,0.76361084,0.07958374
0.07,0.6317749,0.066595459
0.071,0.49700928,0.051165771
0.072,0.33978271,0.034954834
0.073,0.19329834,0.016693115
0.074,0.089782715,0.002923584
