ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:03:45 387m





Relative time,HS3(27295).Ch1,HS3(27295).Ch2
s,V,V
0,0.04284668,0.0044799805
0.001,0.18151855,0.026745605
0.002,0.3182373,0.048034668
0.003,0.46081543,0.068933105
0.004,0.56237793,0.086120605
0.005,0.68151855,0.10565186
0.006,0.79089355,0.12127686
0.007,0.9197998,0.14373779
0.008,1.0096436,0.15780029
0.009,1.1307373,0.17381592
0.01,1.2205811,0.18612061
0.011,1.2850342,0.19686279
0.012,1.3729248,0.20819092
0.013,1.4139404,0.21600342
0.014,1.4549561,0.22166748
0.015,1.4842529,0.22596436
0.016,1.4940186,0.22889404
0.017,1.4881592,0.22772217
0.018,1.4744873,0.22498779
0.019,1.4530029,0.22362061
0.02,1.4217529,0.21658936
0.021,1.3475342,0.20701904
0.022,1.2811279,0.19725342
0.023,1.2030029,0.18690186
0.024,1.1053467,0.17205811
0.025,1.0037842,0.15858154
0.026,0.8885498,0.14197998
0.027,0.76745605,0.12362061
0.028,0.6463623,0.10506592
0.029,0.52722168,0.087097168
0.03,0.40026855,0.066003418
0.031,0.2557373,0.04354248
0.032,0.11901855,0.022644043
0.033,0.02722168,0.004284668
0.034,-0.13098145,-0.018762207
0.035,-0.23840332,-0.035559082
0.036,-0.39855957,-0.058996582
0.037,-0.51965332,-0.078137207
0.038,-0.64855957,-0.097277832
0.039,-0.77941895,-0.11583252
0.04,-0.86730957,-0.13087158
0.041,-1.0020752,-0.15079346
0.042,-1.0997314,-0.16524658
0.043,-1.1837158,-0.17774658
0.044,-1.2891846,-0.19083252
0.045,-1.3438721,-0.19981689
0.046,-1.4005127,-0.20997314
0.047,-1.4532471,-0.21641846
0.048,-1.4805908,-0.22110596
0.049,-1.5001221,-0.22266846
0.05,-1.4903564,-0.22266846
0.051,-1.4825439,-0.22149658
0.052,-1.4571533,-0.21739502
0.053,-1.4161377,-0.20899658
0.054,-1.3731689,-0.20450439
0.055,-1.3067627,-0.19415283
0.056,-1.2423096,-0.18204346
0.057,-1.1661377,-0.16837158
0.058,-1.0587158,-0.15665283
0.059,-0.95715332,-0.13985596
0.06,-0.83410645,-0.12110596
0.061,-0.7208252,-0.10294189
0.062,-0.5880127,-0.082043457
0.063,-0.4473877,-0.062512207
0.064,-0.31262207,-0.040441895
0.065,-0.1739502,-0.01973877
0.066,-0.033325195,0.00096435547
0.067,0.10925293,0.021862793
0.068,0.25378418,0.042565918
0.069,0.3963623,0.061120605
0.07,0.5213623,0.084362793
0.071,0.59753418,0.10076904
0.072,0.7479248,0.12088623
0.073,0.85534668,0.13748779
0.074,0.96472168,0.15311279
0.075,1.0838623,0.16932373
0.076,1.1522217,0.18162842
0.077,1.2498779,0.19373779
0.078,1.3104248,0.20213623
0.079,1.3768311,0.21209717
0.08,1.4451904,0.22088623
0.081,1.4627686,0.22401123
0.082,1.4940186,0.22811279
0.083,1.4901123,0.22791748
0.084,1.4783936,0.22576904
0.085,1.4627686,0.22322998
0.086,1.4119873,0.21639404
0.087,1.3631592,0.20975342
0.088,1.3065186,0.19842529
0.089,1.2342529,0.18826904
0.09,1.1678467,0.17537842
0.091,1.0545654,0.16014404
0.092,0.9588623,0.14451904
0.093,0.83776855,0.12869873
0.094,0.71081543,0.10819092
0.095,0.58581543,0.090222168
0.096,0.45495605,0.068933105
0.097,0.3182373,0.048425293
0.098,0.17370605,0.029284668
0.099,0.052612305,0.009362793
0.1,-0.02355957,-0.0048950195
0.101,-0.1739502,-0.028527832
0.102,-0.32629395,-0.05020752
0.103,-0.4317627,-0.067004395
0.104,-0.5880127,-0.088684082
0.105,-0.70910645,-0.10567627
0.106,-0.8302002,-0.12384033
0.107,-0.95129395,-0.14122314
0.108,-1.0548096,-0.15684814
0.109,-1.1485596,-0.17012939
0.11,-1.2227783,-0.18106689
0.111,-1.3009033,-0.19161377
0.112,-1.3731689,-0.20118408
0.113,-1.4161377,-0.20762939
0.114,-1.4591064,-0.21290283
0.115,-1.4727783,-0.21661377
0.116,-1.4962158,-0.21798096
0.117,-1.5020752,-0.21739502
0.118,-1.4786377,-0.21446533
0.119,-1.4473877,-0.20919189
0.12,-1.3868408,-0.20098877
0.121,-1.3419189,-0.19512939
0.122,-1.2794189,-0.18458252
0.123,-1.2012939,-0.17091064
0.124,-1.1094971,-0.15880127
0.125,-1.0040283,-0.14395752
0.126,-0.89855957,-0.12794189
0.127,-0.78527832,-0.11016846
0.128,-0.66027832,-0.09005127
0.129,-0.52355957,-0.07130127
0.13,-0.3692627,-0.052355957
0.131,-0.24035645,-0.031066895
0.132,-0.09777832,-0.010754395
0.133,0.048706055,0.009753418
0.134,0.17956543,0.030847168
0.135,0.32995605,0.053503418
0.136,0.46862793,0.07166748
0.137,0.57409668,0.088464355
0.138,0.67956543,0.10565186
0.139,0.7947998,0.12342529
0.14,0.93347168,0.14276123
0.141,1.0213623,0.15740967
0.142,1.1444092,0.17362061
0.143,1.2244873,0.18475342
0.144,1.2908936,0.19588623
0.145,1.3787842,0.20643311
0.146,1.4080811,0.21248779
0.147,1.4549561,0.22069092
0.148,1.4822998,0.22322998
0.149,1.4881592,0.22381592
0.15,1.5076904,0.22342529
0.151,1.4822998,0.22108154
0.152,1.4510498,0.21639404
0.153,1.4022217,0.20994873
0.154,1.3416748,0.20174561
0.155,1.2850342,0.19100342
0.156,1.1912842,0.17889404
0.157,1.0975342,0.16561279
0.158,0.99401855,0.14920654
0.159,0.88269043,0.13280029
0.16,0.78894043,0.11834717
0.161,0.6541748,0.098620605
0.162,0.51940918,0.08104248
0.163,0.3885498,0.060339355
0.164,0.24597168,0.040808105
0.165,0.10339355,0.019909668
0.166,0.013549805,0.003112793
0.167,-0.1427002,-0.018566895
0.168,-0.25793457,-0.037902832
0.169,-0.39465332,-0.05802002
0.17,-0.52160645,-0.076574707
0.171,-0.65246582,-0.093762207
0.172,-0.77941895,-0.11524658
0.173,-0.89074707,-0.13360596
0.174,-1.0118408,-0.15079346
