ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 10:54:23 460m





Relative time,HS3(27295).Ch2
s,V
0,0.0052612305
0.001,-0.0029418945
0.002,-0.012316895
0.003,-0.020715332
0.004,-0.029504395
0.005,-0.038098145
0.006,-0.046691895
0.007,-0.058996582
0.008,-0.066027832
0.009,-0.073059082
0.01,-0.081066895
0.011,-0.088098145
0.012,-0.095129395
0.013,-0.10098877
0.014,-0.10723877
0.015,-0.11173096
0.016,-0.11759033
0.017,-0.11954346
0.018,-0.12462158
0.019,-0.12677002
0.02,-0.12989502
0.021,-0.13243408
0.022,-0.13516846
0.023,-0.13477783
0.024,-0.13692627
0.025,-0.13829346
0.026,-0.13673096
0.027,-0.13653564
0.028,-0.13673096
0.029,-0.13302002
0.03,-0.13106689
0.031,-0.12813721
0.032,-0.12618408
0.033,-0.12403564
0.034,-0.11837158
0.035,-0.11329346
0.036,-0.10802002
0.037,-0.10294189
0.038,-0.095324707
0.039,-0.088098145
0.04,-0.080285645
0.041,-0.072668457
0.042,-0.064855957
0.043,-0.055480957
0.044,-0.049230957
0.045,-0.039660645
0.046,-0.031066895
0.047,-0.02364502
0.048,-0.013684082
0.049,-0.00040283203
0.05,0.008581543
0.051,0.019909668
0.052,0.02791748
0.053,0.037487793
0.054,0.04666748
0.055,0.054675293
0.056,0.061901855
0.057,0.07244873
0.058,0.07947998
0.059,0.08807373
0.06,0.096081543
0.061,0.10311279
0.062,0.10975342
0.063,0.11737061
0.064,0.12166748
0.065,0.12694092
0.066,0.12889404
0.067,0.13475342
0.068,0.13885498
0.069,0.14217529
0.07,0.14490967
0.071,0.14588623
0.072,0.14725342
0.073,0.14725342
0.074,0.14705811
0.075,0.14783936
0.076,0.14744873
0.077,0.14588623
0.078,0.14315186
0.079,0.14041748
0.08,0.13885498
0.081,0.13690186
0.082,0.13104248
0.083,0.12830811
0.084,0.12244873
0.085,0.11678467
0.086,0.11053467
0.087,0.10428467
0.088,0.097839355
0.089,0.090222168
0.09,0.082800293
0.091,0.07479248
0.092,0.067956543
0.093,0.05760498
0.094,0.047839355
