ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:04:28 763m





Relative time,HS3(27295).Ch1,HS3(27295).Ch2
s,V,V
0,0.058532715,0.007019043
0.001,0.20013428,0.025378418
0.002,0.34173584,0.042370605
0.003,0.46868896,0.061706543
0.004,0.55267334,0.075378418
0.005,0.70892334,0.094128418
0.006,0.79779053,0.10701904
0.007,0.92767334,0.12205811
0.008,1.0233765,0.13533936
0.009,1.1083374,0.14490967
0.01,1.2020874,0.15877686
0.011,1.2518921,0.16502686
0.012,1.3114624,0.17244873
0.013,1.352478,0.17615967
0.014,1.3632202,0.17908936
0.015,1.3973999,0.18201904
0.016,1.3895874,0.18104248
0.017,1.3641968,0.17947998
0.018,1.3378296,0.17420654
0.019,1.2782593,0.16815186
0.02,1.218689,0.15916748
0.021,1.1415405,0.14920654
0.022,1.0507202,0.13983154
0.023,0.95306396,0.12615967
0.024,0.84954834,0.11326904
0.025,0.74212646,0.099401855
0.026,0.62200928,0.08338623
0.027,0.48919678,0.066394043
0.028,0.34954834,0.049401855
0.029,0.21478271,0.031237793
0.03,0.06829834,0.009753418
0.031,-0.0088500977,-0.001574707
0.032,-0.17095947,-0.022473145
0.033,-0.29302979,-0.039465332
0.034,-0.41802979,-0.055285645
0.035,-0.56256104,-0.07286377
0.036,-0.65631104,-0.08770752
0.037,-0.7979126,-0.10274658
0.038,-0.91217041,-0.12012939
0.039,-1.0029907,-0.13126221
0.04,-1.1201782,-0.14552002
0.041,-1.1836548,-0.15645752
0.042,-1.2588501,-0.16466064
0.043,-1.3174438,-0.17305908
0.044,-1.3477173,-0.17481689
0.045,-1.3760376,-0.18009033
0.046,-1.3887329,-0.18223877
0.047,-1.3858032,-0.18087158
0.048,-1.3779907,-0.18145752
0.049,-1.3408813,-0.17520752
0.05,-1.3067017,-0.16973877
0.051,-1.2461548,-0.16153564
0.052,-1.1738892,-0.15216064
0.053,-1.0996704,-0.14259033
0.054,-0.99615479,-0.12872314
0.055,-0.88580322,-0.11544189
0.056,-0.77056885,-0.10079346
0.057,-0.64849854,-0.084777832
0.058,-0.52252197,-0.067785645
0.059,-0.38189697,-0.049035645
0.06,-0.25006104,-0.030480957
0.061,-0.10845947,-0.01192627
0.062,0.039978027,0.007800293
0.063,0.17767334,0.02401123
0.064,0.3192749,0.04197998
0.065,0.46282959,0.06151123
0.066,0.5458374,0.074597168
0.067,0.69036865,0.093151855
0.068,0.77728271,0.10526123
0.069,0.91204834,0.12108154
0.07,1.0077515,0.13436279
0.071,1.0809937,0.14647217
0.072,1.1864624,0.15760498
0.073,1.2352905,0.16639404
0.074,1.3026733,0.17459717
0.075,1.3534546,0.17928467
0.076,1.374939,0.18319092
0.077,1.3973999,0.18572998
0.078,1.3798218,0.18416748
0.079,1.3690796,0.18416748
0.08,1.3348999,0.17967529
0.081,1.281189,0.17303467
0.082,1.2294312,0.16600342
0.083,1.1425171,0.15526123
0.084,1.0634155,0.14432373
0.085,0.98529053,0.13416748
0.086,0.8739624,0.11951904
0.087,0.75970459,0.10428467
0.088,0.62786865,0.08729248
0.089,0.49993896,0.070690918
0.09,0.36517334,0.05291748
0.091,0.22259521,0.035144043
0.092,0.086853027,0.017565918
0.093,0.0028686523,0.0033081055
0.094,-0.15826416,-0.017785645
0.095,-0.25494385,-0.03145752
0.096,-0.39263916,-0.050012207
0.097,-0.54302979,-0.067980957
0.098,-0.64556885,-0.078723145
0.099,-0.78814697,-0.10079346
0.1,-0.8994751,-0.11583252
0.101,-1.0020142,-0.12677002
0.102,-1.1065063,-0.14161377
0.103,-1.1748657,-0.15098877
0.104,-1.2559204,-0.16036377
0.105,-1.3018188,-0.16700439
0.106,-1.3340454,-0.17188721
0.107,-1.3789673,-0.17774658
0.108,-1.3877563,-0.17852783
0.109,-1.3887329,-0.17872314
0.11,-1.3838501,-0.17637939
0.111,-1.3516235,-0.17403564
0.112,-1.3154907,-0.16759033
0.113,-1.2598267,-0.16192627
0.114,-1.1865845,-0.15430908
0.115,-1.1035767,-0.14317627
0.116,-1.0049438,-0.12833252
0.117,-0.90533447,-0.11524658
0.118,-0.79107666,-0.10079346
0.119,-0.66705322,-0.08458252
0.12,-0.54595947,-0.06895752
0.121,-0.4072876,-0.050402832
0.122,-0.26763916,-0.032043457
0.123,-0.13092041,-0.013293457
0.124,0.015563965,0.005456543
0.125,0.16595459,0.023425293
0.126,0.31243896,0.042565918
0.127,0.44818115,0.059362793
0.128,0.53607178,0.07244873
0.129,0.66790771,0.08963623
0.13,0.76068115,0.10369873
0.131,0.89642334,0.11990967
0.132,0.98529053,0.13104248
0.133,1.0790405,0.14334717
0.134,1.1727905,0.15408936
0.135,1.234314,0.16365967
0.136,1.3104858,0.17147217
0.137,1.3466187,0.17928467
0.138,1.368103,0.18123779
0.139,1.3895874,0.18397217
0.14,1.374939,0.18260498
0.141,1.3710327,0.18045654
0.142,1.3378296,0.17713623
0.143,1.2821655,0.16971436
0.144,1.2352905,0.16307373
0.145,1.1688843,0.15506592
0.146,1.0985718,0.14412842
0.147,0.99603271,0.13299561
0.148,0.87884521,0.11717529
0.149,0.77532959,0.10174561
0.15,0.6395874,0.083972168
0.151,0.51361084,0.067956543
0.152,0.37884521,0.05135498
0.153,0.23138428,0.032409668
0.154,0.10345459,0.01619873
0.155,0.02142334,0.003503418
0.156,-0.12408447,-0.016418457
0.157,-0.23931885,-0.031066895
0.158,-0.38580322,-0.050793457
0.159,-0.52056885,-0.06817627
0.16,-0.63775635,-0.082629395
0.161,-0.78326416,-0.10020752
0.162,-0.87994385,-0.11641846
0.163,-0.99908447,-0.13048096
0.164,-1.0908813,-0.14083252
0.165,-1.1592407,-0.15079346
0.166,-1.2363892,-0.15997314
0.167,-1.2910767,-0.16759033
0.168,-1.3428345,-0.17442627
0.169,-1.3760376,-0.17833252
0.17,-1.3916626,-0.17969971
0.171,-1.4004517,-0.18184814
0.172,-1.3887329,-0.17911377
0.173,-1.3643188,-0.17677002
0.174,-1.3252563,-0.17247314
0.175,-1.2637329,-0.16583252
0.176,-1.1924438,-0.15665283
0.177,-1.1201782,-0.14415283
0.178,-1.0254517,-0.13204346
0.179,-0.91900635,-0.12091064
0.18,-0.81549072,-0.10645752
0.181,-0.6885376,-0.091027832
0.182,-0.56646729,-0.073449707
0.183,-0.43170166,-0.056848145
0.184,-0.29400635,-0.038684082
0.185,-0.1416626,-0.018762207
0.186,0.0048217773,-1.2207031E-5
0.187,0.14349365,0.016784668
0.188,0.28216553,0.035534668
0.189,0.42767334,0.054870605
0.19,0.5302124,0.068737793
0.191,0.63470459,0.08494873
0.192,0.74310303,0.099597168
0.193,0.8817749,0.11502686
0.194,0.96478271,0.12733154
0.195,1.078064,0.14197998
0.196,1.1708374,0.15194092
0.197,1.2294312,0.16209717
0.198,1.2987671,0.17069092
0.199,1.3339233,0.17537842
0.2,1.3632202,0.17967529
