ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:09:40 868m





Relative time,HS3(27295).Ch1,HS3(27295).Ch2
s,V,V
0,0.023376465,0.018933105
0.001,0.17181396,0.03494873
0.002,0.31732178,0.04901123
0.003,0.44622803,0.06307373
0.004,0.54290771,0.074597168
0.005,0.66888428,0.090222168
0.006,0.80267334,0.10233154
0.007,0.88470459,0.10994873
0.008,1.0204468,0.11932373
0.009,1.086853,0.12713623
0.01,1.1513062,0.13338623
0.011,1.2108765,0.13768311
0.012,1.2245483,0.13768311
0.013,1.2489624,0.13709717
0.014,1.2304077,0.13299561
0.015,1.2050171,0.12791748
0.016,1.1630249,0.12244873
0.017,1.0946655,0.11424561
0.018,1.0380249,0.10799561
0.019,0.9442749,0.098034668
0.02,0.83392334,0.084558105
0.021,0.7177124,0.069909668
0.022,0.58294678,0.057214355
0.023,0.44818115,0.04119873
0.024,0.3036499,0.025183105
0.025,0.15130615,0.0083862305
0.026,0.059509277,-0.0041137695
0.027,-0.10845947,-0.023059082
0.028,-0.21295166,-0.03380127
0.029,-0.37896729,-0.051379395
0.03,-0.52349854,-0.066418457
0.031,-0.65338135,-0.081652832
0.032,-0.79986572,-0.097473145
0.033,-0.90826416,-0.10977783
0.034,-1.0186157,-0.12110596
0.035,-1.116272,-0.12872314
0.036,-1.1836548,-0.13360596
0.037,-1.2461548,-0.14063721
0.038,-1.2734985,-0.14337158
0.039,-1.2891235,-0.14591064
0.04,-1.296936,-0.14493408
0.041,-1.2754517,-0.14141846
0.042,-1.2432251,-0.13634033
0.043,-1.1895142,-0.13165283
0.044,-1.1123657,-0.12188721
0.045,-1.031311,-0.11387939
0.046,-0.92877197,-0.10274658
0.047,-0.81549072,-0.089660645
0.048,-0.68463135,-0.074230957
0.049,-0.54205322,-0.058410645
0.05,-0.3994751,-0.043371582
0.051,-0.25201416,-0.026184082
0.052,-0.096740723,-0.010559082
0.053,0.050720215,0.007800293
0.054,0.20404053,0.025183105
0.055,0.34857178,0.04041748
0.056,0.43157959,0.051159668
0.057,0.60345459,0.069128418
0.058,0.72161865,0.082800293
0.059,0.83782959,0.096276855
0.06,0.95892334,0.10897217
0.061,1.0321655,0.11561279
0.062,1.1259155,0.12186279
0.063,1.1864624,0.12947998
0.064,1.227478,0.13377686
