ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:02:00 988m





Relative time,HS3(27295).Ch1,HS3(27295).Ch2
s,V,V
0,0.04675293,0.015600586
0.001,0.21081543,0.053100586
0.002,0.36315918,0.091381836
0.003,0.52331543,0.12770996
0.004,0.67565918,0.16520996
0.005,0.82019043,0.20075684
0.006,0.9588623,0.23044434
0.007,1.0545654,0.26052246
0.008,1.1990967,0.28981934
0.009,1.3065186,0.31677246
0.01,1.4295654,0.34333496
0.011,1.5389404,0.36833496
0.012,1.6268311,0.38903809
0.013,1.7127686,0.40739746
0.014,1.7791748,0.42263184
0.015,1.8436279,0.43552246
0.016,1.8905029,0.44606934
0.017,1.9237061,0.45153809
0.018,1.9393311,0.45427246
0.019,1.9451904,0.45622559
0.02,1.9451904,0.45427246
0.021,1.9373779,0.44802246
0.022,1.8963623,0.43981934
0.023,1.8397217,0.42731934
0.024,1.7772217,0.41013184
0.025,1.6951904,0.39294434
0.026,1.6209717,0.37224121
0.027,1.5194092,0.34997559
0.028,1.4061279,0.32497559
0.029,1.2908936,0.29958496
0.03,1.1776123,0.26989746
0.031,1.0428467,0.24020996
0.032,0.9041748,0.20817871
0.033,0.75183105,0.17380371
0.034,0.5994873,0.13942871
0.035,0.43933105,0.10192871
0.036,0.28894043,0.064819336
0.037,0.13464355,0.027319336
0.038,0.0037841797,-0.0066650391
0.039,-0.15246582,-0.043774414
0.04,-0.27355957,-0.078149414
0.041,-0.4395752,-0.11486816
0.042,-0.58996582,-0.14924316
0.043,-0.73449707,-0.18361816
0.044,-0.89660645,-0.21721191
0.045,-1.0177002,-0.24689941
0.046,-1.1622314,-0.27854004
0.047,-1.2794189,-0.30705566
0.048,-1.4044189,-0.33361816
0.049,-1.5118408,-0.35900879
0.05,-1.5821533,-0.37971191
0.051,-1.6719971,-0.39885254
0.052,-1.7559814,-0.41643066
0.053,-1.8048096,-0.43049316
0.054,-1.8653564,-0.44143066
0.055,-1.9044189,-0.44689941
0.056,-1.9200439,-0.45432129
0.057,-1.9376221,-0.45822754
0.058,-1.9395752,-0.45705566
0.059,-1.9180908,-0.45627441
0.06,-1.8829346,-0.44689941
0.061,-1.8438721,-0.43830566
0.062,-1.7930908,-0.42463379
0.063,-1.7286377,-0.41057129
0.064,-1.6485596,-0.39221191
0.065,-1.5723877,-0.37189941
0.066,-1.4727783,-0.34768066
0.067,-1.3634033,-0.32307129
0.068,-1.2442627,-0.29611816
0.069,-1.1251221,-0.26525879
0.07,-0.98254395,-0.23361816
0.071,-0.83996582,-0.20119629
0.072,-0.69543457,-0.16643066
0.073,-0.54309082,-0.13244629
0.074,-0.3848877,-0.096118164
0.075,-0.23059082,-0.058618164
0.076,-0.068481445,-0.019555664
0.077,0.099487305,0.016381836
0.078,0.2557373,0.054272461
0.079,0.41003418,0.092553711
0.08,0.58190918,0.12810059
0.081,0.72839355,0.16325684
0.082,0.87878418,0.19841309
0.083,0.9979248,0.22888184
0.084,1.1170654,0.25739746
0.085,1.2303467,0.28747559
0.086,1.3572998,0.31638184
0.087,1.4569092,0.34099121
0.088,1.5780029,0.36560059
0.089,1.6600342,0.38395996
0.09,1.7420654,0.40427246
0.091,1.8182373,0.42067871
0.092,1.8651123,0.43317871
0.093,1.9139404,0.44450684
0.094,1.9490967,0.45114746
0.095,1.9490967,0.45310059
0.096,1.9569092,0.45583496
0.097,1.9412842,0.45192871
0.098,1.9061279,0.44724121
0.099,1.8826904,0.43747559
0.1,1.8260498,0.42458496
0.101,1.7694092,0.41169434
0.102,1.6854248,0.39177246
0.103,1.5897217,0.37263184
0.104,1.4901123,0.34958496
0.105,1.3729248,0.32458496
0.106,1.2518311,0.29685059
0.107,1.1248779,0.26716309
0.108,0.9822998,0.23435059
0.109,0.84362793,0.20153809
0.11,0.69714355,0.16755371
0.111,0.55065918,0.13356934
0.112,0.39245605,0.096459961
0.113,0.23034668,0.057397461
0.114,0.07800293,0.020678711
0.115,-0.04309082,-0.011352539
0.116,-0.2052002,-0.051977539
0.117,-0.34973145,-0.087524414
0.118,-0.50793457,-0.12346191
0.119,-0.66418457,-0.15900879
0.12,-0.7911377,-0.19338379
0.121,-0.9395752,-0.22736816
0.122,-1.0626221,-0.25979004
0.123,-1.1954346,-0.28947754
0.124,-1.3145752,-0.31838379
0.125,-1.4259033,-0.34533691
0.126,-1.5313721,-0.36760254
0.127,-1.6153564,-0.39182129
0.128,-1.6973877,-0.41018066
0.129,-1.7657471,-0.42541504
0.13,-1.8106689,-0.43830566
0.131,-1.8555908,-0.44885254
0.132,-1.8887939,-0.45510254
0.133,-1.9063721,-0.46135254
0.134,-1.9161377,-0.46213379
0.135,-1.9102783,-0.45939941
0.136,-1.8907471,-0.45354004
0.137,-1.8692627,-0.44416504
0.138,-1.8204346,-0.43322754
0.139,-1.7677002,-0.41838379
0.14,-1.6915283,-0.40314941
0.141,-1.6153564,-0.38439941
0.142,-1.5274658,-0.35900879
0.143,-1.4317627,-0.33518066
0.144,-1.3243408,-0.31057129
0.145,-1.1993408,-0.27932129
0.146,-1.0723877,-0.24807129
0.147,-0.93566895,-0.21604004
0.148,-0.80090332,-0.18205566
0.149,-0.64465332,-0.14572754
0.15,-0.49035645,-0.10979004
0.151,-0.34191895,-0.073461914
0.152,-0.1739502,-0.035180664
0.153,-0.029418945,0.0019287109
0.154,0.1541748,0.039428711
0.155,0.3026123,0.075756836
0.156,0.44909668,0.11247559
0.157,0.61901855,0.14997559
0.158,0.75964355,0.18474121
0.159,0.90808105,0.21911621
0.16,1.0174561,0.24919434
0.161,1.1483154,0.27849121
0.162,1.2537842,0.30778809
0.163,1.3963623,0.33591309
0.164,1.4862061,0.35817871
0.165,1.5877686,0.38005371
0.166,1.6815186,0.40075684
0.167,1.7440186,0.41599121
0.168,1.8201904,0.43005371
0.169,1.8729248,0.44216309
0.17,1.9119873,0.45114746
0.171,1.9530029,0.45583496
0.172,1.9530029,0.45739746
0.173,1.9549561,0.45661621
0.174,1.9432373,0.45270996
0.175,1.9022217,0.44567871
0.176,1.8631592,0.43630371
0.177,1.8006592,0.42302246
0.178,1.7342529,0.40661621
0.179,1.6444092,0.38825684
0.18,1.5721436,0.36833496
0.181,1.4666748,0.34333496
0.182,1.3436279,0.31638184
0.183,1.2225342,0.28786621
0.184,1.0975342,0.25739746
0.185,0.94519043,0.22731934
0.186,0.81237793,0.19138184
0.187,0.65808105,0.15856934
0.188,0.49987793,0.12263184
0.189,0.34753418,0.086694336
0.19,0.2010498,0.050366211
0.191,0.04675293,0.013256836
0.192,-0.06652832,-0.019165039
0.193,-0.24035645,-0.057836914
0.194,-0.3770752,-0.092211914
0.195,-0.53527832,-0.12854004
0.196,-0.6973877,-0.16252441
0.197,-0.8380127,-0.19572754
0.198,-0.98254395,-0.23010254
0.199,-1.1094971,-0.26096191
0.2,-1.2266846,-0.28869629
0.201,-1.3497314,-0.31721191
0.202,-1.4552002,-0.34260254
0.203,-1.5528564,-0.36604004
0.204,-1.6505127,-0.38674316
0.205,-1.7266846,-0.40588379
0.206,-1.7950439,-0.41877441
0.207,-1.8438721,-0.43400879
0.208,-1.8887939,-0.44299316
0.209,-1.9239502,-0.45002441
0.21,-1.9259033,-0.45432129
0.211,-1.9278564,-0.45354004
0.212,-1.9219971,-0.45236816
0.213,-1.9005127,-0.44650879
0.214,-1.8712158,-0.43908691
0.215,-1.8223877,-0.42658691
0.216,-1.7637939,-0.41213379
0.217,-1.7012939,-0.39533691
0.218,-1.6094971,-0.37424316
0.219,-1.5157471,-0.35314941
0.22,-1.4102783,-0.32697754
0.221,-1.2872314,-0.30080566
0.222,-1.1661377,-0.27189941
0.223,-1.0352783,-0.24182129
0.224,-0.89465332,-0.20666504
0.225,-0.75598145,-0.17424316
0.226,-0.60168457,-0.14064941
0.227,-0.44543457,-0.10314941
0.228,-0.2833252,-0.067602539
0.229,-0.12902832,-0.028540039
0.23,0.03112793,0.0089599609
0.231,0.19128418,0.046069336
0.232,0.3572998,0.082397461
0.233,0.50964355,0.12224121
0.234,0.67175293,0.15036621
0.235,0.81433105,0.19333496
0.236,0.95300293,0.22575684
0.237,1.0487061,0.25349121
0.238,1.1873779,0.28708496
0.239,1.3045654,0.31560059
0.24,1.4256592,0.34255371
0.241,1.5389404,0.36677246
0.242,1.6268311,0.38942871
0.243,1.7166748,0.40817871
0.244,1.7889404,0.42497559
0.245,1.8377686,0.44138184
0.246,1.9002686,0.45270996
0.247,1.9256592,0.45856934
0.248,1.9471436,0.46403809
0.249,1.9549561,0.46599121
0.25,1.9471436,0.46325684
0.251,1.9373779,0.46286621
0.252,1.9002686,0.45153809
0.253,1.8416748,0.44060059
0.254,1.7850342,0.42770996
0.255,1.7030029,0.41091309
0.256,1.6229248,0.39099121
0.257,1.5233154,0.36833496
0.258,1.4119873,0.34411621
0.259,1.2928467,0.31950684
0.26,1.1717529,0.28864746
0.261,1.0428467,0.25661621
0.262,0.90026855,0.22536621
0.263,0.74987793,0.19099121
0.264,0.59753418,0.15349121
0.265,0.4432373,0.11833496
0.266,0.2869873,0.081616211
0.267,0.12878418,0.044506836
0.268,0.01550293,0.0089599609
0.269,-0.15246582,-0.030883789
0.27,-0.2755127,-0.066040039
0.271,-0.43566895,-0.10627441
0.272,-0.59191895,-0.13986816
0.273,-0.73059082,-0.17541504
0.274,-0.8848877,-0.20900879
0.275,-1.0196533,-0.23986816
0.276,-1.1563721,-0.27268066
0.277,-1.2774658,-0.30197754
0.278,-1.3848877,-0.32854004
0.279,-1.4884033,-0.35314941
0.28,-1.5762939,-0.37502441
0.281,-1.6563721,-0.39416504
0.282,-1.7344971,-0.41252441
0.283,-1.7872314,-0.42697754
0.284,-1.8438721,-0.43869629
0.285,-1.8868408,-0.44924316
0.286,-1.9044189,-0.45393066
0.287,-1.9219971,-0.45549316
0.288,-1.9180908,-0.45510254
0.289,-1.9161377,-0.45119629
0.29,-1.8809814,-0.44338379
0.291,-1.8321533,-0.43322754
0.292,-1.7989502,-0.42033691
0.293,-1.7247314,-0.40588379
0.294,-1.6505127,-0.38479004
0.295,-1.5723877,-0.36291504
0.296,-1.4727783,-0.34064941
0.297,-1.3653564,-0.31369629
0.298,-1.2501221,-0.28557129
0.299,-1.1231689,-0.25627441
0.3,-1.0001221,-0.22463379
0.301,-0.84387207,-0.19260254
0.302,-0.70324707,-0.15588379
0.303,-0.56652832,-0.12150879
0.304,-0.40441895,-0.084399414
0.305,-0.2520752,-0.048461914
0.306,-0.088012695,-0.0086181641
0.307,0.068237305,0.028491211
0.308,0.22644043,0.064428711
0.309,0.39050293,0.10153809
0.31,0.5447998,0.13825684
0.311,0.71081543,0.17380371
0.312,0.85144043,0.20739746
0.313,0.98425293,0.23825684
0.314,1.0819092,0.26755371
0.315,1.2127686,0.29763184
0.316,1.3338623,0.32692871
0.317,1.4471436,0.35075684
0.318,1.5584717,0.37536621
0.319,1.6405029,0.39645996
0.32,1.7342529,0.41286621
0.321,1.8123779,0.43005371
0.322,1.8572998,0.44099121
0.323,1.9139404,0.44997559
0.324,1.9373779,0.45583496
0.325,1.9432373,0.45817871
0.326,1.9647217,0.45895996
0.327,1.9432373,0.45622559
0.328,1.9178467,0.45114746
0.329,1.8826904,0.44177246
0.33,1.8319092,0.42966309
0.331,1.7791748,0.41520996
0.332,1.6912842,0.39763184
0.333,1.5994873,0.37653809
0.334,1.5115967,0.35544434
0.335,1.3944092,0.33044434
0.336,1.2733154,0.30231934
0.337,1.1424561,0.27263184
0.338,1.0057373,0.24294434
0.339,0.8651123,0.20856934
0.34,0.72644043,0.17653809
0.341,0.58776855,0.14216309
0.342,0.41589355,0.10622559
0.343,0.25378418,0.067944336
0.344,0.099487305,0.031225586
0.345,-0.03137207,-0.0027587891
0.346,-0.18566895,-0.038696289
0.347,-0.32043457,-0.074243164
0.348,-0.49230957,-0.11291504
0.349,-0.63293457,-0.14807129
0.35,-0.77746582,-0.18088379
0.351,-0.92004395,-0.21486816
0.352,-1.0430908,-0.24572754
0.353,-1.1915283,-0.27541504
0.354,-1.3009033,-0.30432129
0.355,-1.4161377,-0.32893066
0.356,-1.5255127,-0.35471191
0.357,-1.6114502,-0.37580566
0.358,-1.6993408,-0.39455566
0.359,-1.7774658,-0.41096191
0.36,-1.8262939,-0.42346191
0.361,-1.8731689,-0.43479004
0.362,-1.9024658,-0.44260254
0.363,-1.9239502,-0.44846191
0.364,-1.9317627,-0.44924316
0.365,-1.9317627,-0.44885254
0.366,-1.9141846,-0.44416504
0.367,-1.8770752,-0.43947754
0.368,-1.8380127,-0.42775879
0.369,-1.7891846,-0.41408691
0.37,-1.7149658,-0.39885254
0.371,-1.6368408,-0.38049316
0.372,-1.5430908,-0.35744629
0.373,-1.4473877,-0.33518066
0.374,-1.3302002,-0.30822754
0.375,-1.2149658,-0.27814941
0.376,-1.0860596,-0.24924316
0.377,-0.95715332,-0.21682129
0.378,-0.81066895,-0.18479004
0.379,-0.66418457,-0.14963379
0.38,-0.50598145,-0.11447754
0.381,-0.33996582,-0.075805664
0.382,-0.18566895,-0.040258789
0.383,-0.029418945,-0.0023681641
0.384,0.13659668,0.036694336
0.385,0.29089355,0.072631836
0.386,0.45690918,0.11052246
0.387,0.60925293,0.14685059
0.388,0.75769043,0.18278809
0.389,0.90026855,0.21911621
0.39,1.0057373,0.24724121
0.391,1.1561279,0.27966309
0.392,1.2498779,0.30622559
0.393,1.3885498,0.33435059
0.394,1.4940186,0.36052246
0.395,1.5819092,0.38435059
0.396,1.6873779,0.40466309
0.397,1.7518311,0.42224121
0.398,1.8299561,0.43747559
0.399,1.8729248,0.45075684
0.4,1.9100342,0.45778809
0.401,1.9530029,0.46599121
0.402,1.9608154,0.46638184
0.403,1.9510498,0.46560059
0.404,1.9432373,0.46247559
0.405,1.9022217,0.45778809
0.406,1.8729248,0.44685059
0.407,1.8104248,0.43278809
0.408,1.7322998,0.41638184
0.409,1.6561279,0.39880371
0.41,1.5584717,0.37731934
0.411,1.4705811,0.35466309
0.412,1.3416748,0.32653809
0.413,1.2362061,0.29958496
0.414,1.1033936,0.26911621
0.415,0.9588623,0.23669434
0.416,0.8104248,0.20192871
0.417,0.65808105,0.16755371
0.418,0.50183105,0.13122559
0.419,0.34362793,0.093334961
0.42,0.19519043,0.055834961
0.421,0.05456543,0.017944336
0.422,-0.068481445,-0.015649414
0.423,-0.22668457,-0.054321289
0.424,-0.3770752,-0.091040039
0.425,-0.52355957,-0.12580566
0.426,-0.69543457,-0.16291504
0.427,-0.81848145,-0.19611816
0.428,-0.9708252,-0.23127441
0.429,-1.1055908,-0.26096191
0.43,-1.2149658,-0.29025879
0.431,-1.3302002,-0.31682129
0.432,-1.4337158,-0.34416504
0.433,-1.5352783,-0.36604004
0.434,-1.6309814,-0.38713379
0.435,-1.7091064,-0.40354004
0.436,-1.7755127,-0.41916504
0.437,-1.8341064,-0.43205566
0.438,-1.8790283,-0.44221191
0.439,-1.9083252,-0.44807129
0.44,-1.9161377,-0.45119629
0.441,-1.9239502,-0.45041504
0.442,-1.9122314,-0.44924316
0.443,-1.8868408,-0.44299316
0.444,-1.8673096,-0.43322754
0.445,-1.8204346,-0.42229004
0.446,-1.7559814,-0.40549316
0.447,-1.6973877,-0.38908691
0.448,-1.6094971,-0.37033691
0.449,-1.5137939,-0.34689941
0.45,-1.4161377,-0.32424316
0.451,-1.2930908,-0.29455566
0.452,-1.1798096,-0.26486816
0.453,-1.0509033,-0.23244629
0.454,-0.91418457,-0.20197754
0.455,-0.7755127,-0.16799316
0.456,-0.62512207,-0.13361816
